time,open,high,low,close,Volume,Volume MA,OSC,ADX
2023-07-17T18:51:00Z,191.89,191.89,191.89,191.89,2,65,-0.02578834218081759,21.900224232905444
2023-07-17T18:52:00Z,191.92,191.92,191.92,191.92,3,54.4,-0.0402207928101214,22.480194678382016
2023-07-17T18:53:00Z,191.9,191.93,191.9,191.93,23,55.2,-0.04808193021973536,23.217034819860512
2023-07-17T18:54:00Z,191.915,191.95,191.915,191.93,23,55.5,-0.0521503656470028,23.51261008224787
2023-07-17T18:55:00Z,191.95,191.95,191.95,191.95,5,54,-0.05411089012590279,23.787072825893276
2023-07-17T18:56:00Z,191.96,191.96,191.86,191.87,282,67.75,-0.052080620800271926,24.956013026237148
2023-07-17T18:57:00Z,191.84,191.84,191.84,191.84,6,67.35,-0.05010020040008167,26.2143859516207
2023-07-17T18:58:00Z,191.85,191.85,191.81,191.81,23,60.7,-0.04789661672711592,27.634479324291455
2023-07-17T18:59:00Z,191.83,191.83,191.83,191.83,5,60.5,-0.04402980631774871,28.953137456057153
2023-07-17T19:00:00Z,191.8,191.82,191.77,191.82,310,75.75,-0.03996457516170945,30.657179505538146
2023-07-17T19:01:00Z,191.77,191.77,191.77,191.77,100,78.5,-0.037784718896358316,32.2395042657705
2023-07-17T19:02:00Z,191.77,191.83,191.75,191.83,1261,139.25,-0.03428940055506345,32.33110786374606
2023-07-17T19:03:00Z,191.84,191.84,191.82,191.82,200,135.4,-0.02960312458052829,32.2048875739186
2023-07-17T19:04:00Z,191.83,191.83,191.83,191.83,34,128,-0.028116167167616835,32.08768301907882
2023-07-17T19:05:00Z,191.79,191.82,191.79,191.82,44,129.4,-0.02868870766730371,32.44105710595355
2023-07-17T19:06:00Z,191.85,191.88,191.85,191.88,51,131.15,-0.024197751469741603,31.4884624225206
2023-07-17T19:07:00Z,191.87,191.91,191.87,191.9,140,130.2,-0.019829993174144814,30.043970733251946
2023-07-17T19:08:00Z,191.92,191.97,191.92,191.97,75,131.15,-0.012235436603309115,28.080051108170252
2023-07-17T19:09:00Z,191.975,192.1,191.975,192.1,306,145.15,-0.0026306254428656796,27.82000522343958
2023-07-17T19:10:00Z,192.09,192.09,192.09,192.09,69,148.1,0.0059806237723463995,27.5785340447611
2023-07-17T19:11:00Z,192.125,192.16,192.1,192.1,235,159.75,0.017717561230543546,28.018278034413147
2023-07-17T19:12:00Z,192.12,192.13,192.1,192.1,112,165.2,0.02657495701181837,28.426611739090042
2023-07-17T19:13:00Z,192.16,192.195,192.16,192.19,198,173.95,0.03915263573232592,29.359496400015463
2023-07-17T19:15:00Z,192.25,192.27,192.24,192.25,339,189.75,0.05309251494850202,30.756196279984767
2023-07-17T19:16:00Z,192.23,192.28,192.19,192.19,82,193.6,0.06591481929933639,31.164859130641855
2023-07-17T19:17:00Z,192.22,192.23,192.17,192.17,294,194.2,0.07556100199020911,31.205823121577524
2023-07-17T19:18:00Z,192.17,192.17,192.16,192.16,61,196.95,0.0819056076326763,31.07114600335682
2023-07-17T19:19:00Z,192.18,192.29,192.18,192.26,63,198.95,0.0865847034524445,31.914007753182343
2023-07-17T19:20:00Z,192.28,192.31,192.28,192.31,11,199.25,0.08511081517483667,32.8324150334458
2023-07-17T19:21:00Z,192.345,192.345,192.23,192.24,287,198.1,0.08274647887395913,32.83518062556479
