time,open,high,low,close,Volume,Volume MA
2022-10-04T13:30:00Z,119.89,123,119.79,121.09,62812564,58312811.3
2022-10-05T13:30:00Z,118.58,121.75,117.69,120.95,48217535,58331963.7
2022-10-06T13:30:00Z,120.77,121.53,119.5,120.3,42253755,58245226
2022-10-07T13:30:00Z,118,118.17,113.88,114.56,54677980,58508012.05
2022-10-10T13:30:00Z,115.1,116.25,112.43,113.67,42339675,57933652.85
2022-10-11T13:30:00Z,112.71,115.48,110.39,112.21,56432233,57120564
2022-10-12T13:30:00Z,112.49,113.83,111.4,112.9,45728660,57141158.4
2022-10-13T13:30:00Z,107.88,113.44,105.345,112.53,86868103,58840203.75
2022-10-14T13:30:00Z,114.1,114.96,106.6,106.9,67737344,56443680.75
2022-10-17T13:30:00Z,110.11,114.19,110.09,113.79,62781985,57218793.65
2022-10-18T13:30:00Z,119.06,119.52,114.79,116.36,65607448,58114244.45
2022-10-19T13:30:00Z,114.71,116.5932,113.22,115.07,47198122,57549206.2
2022-10-20T13:30:00Z,113.83,118.24,113.51,115.25,48795104,57227501.9
2022-10-21T13:30:00Z,114.792,119.59,114.5,119.32,55660485,56754192.9
2022-10-24T13:30:00Z,119.98,120.39,116.57,119.82,49531523,56094605.65
2022-10-25T13:30:00Z,119.65,121.3152,118.95,120.6,50934609,55636601.45
2022-10-26T13:30:00Z,116,119.3457,114.76,115.66,69002457,56298536.8
2022-10-27T13:30:00Z,113.92,114.12,109.77,110.96,129605362,59830319.2
2022-10-28T13:30:00Z,97.905,103.96,97.66,103.41,223133398,68013009.8
2022-10-31T13:30:00Z,103.56,104.87,100.74,102.44,99251395,70428486.85
2022-11-01T13:30:00Z,103.99,104.58,96.06,96.79,153370032,74956360.25
2022-11-02T13:30:00Z,97.315,97.74,92.01,92.12,135761798,79333573.4
2022-11-03T13:30:00Z,92.47,93.5,89.02,89.3,136683303,84055050.8
2022-11-04T13:30:00Z,91.49,92.44,88.04,90.98,129101336,87776218.6
2022-11-07T14:30:00Z,91.95,92.1,89.04,90.53,77495728,89534021.25
2022-11-08T14:30:00Z,90.79,91.72,88.23,89.98,88703370,91147578.1
2022-11-09T14:30:00Z,89.47,89.48,85.87,86.14,90796249,93400957.55
2022-11-10T14:30:00Z,92.935,98.69,91.65,96.63,173414862,97728295.5
2022-11-11T14:30:00Z,97.88,101.19,96.66,100.79,111590544,99920955.5
2022-11-14T14:30:00Z,98.77,100.1199,97.29,98.49,99533072,101758509.9
2022-11-15T14:30:00Z,103.21,103.79,97.34,98.94,111336317,104044953.3
2022-11-16T14:30:00Z,96.85,98.4879,95.54,97.12,87958828,106082988.6
2022-11-17T14:30:00Z,95.37,96.97,94.03,94.85,82617865,107774126.7
2022-11-18T14:30:00Z,95.95,95.99,92.48,94.14,72428185,108612511.7
2022-11-21T14:30:00Z,93.97,95.02,90.59,92.46,84330270,110352449
2022-11-22T14:30:00Z,92.62,93.35,90.87,93.2,62191962,110915316.7
2022-11-23T14:30:00Z,93.24,94.58,92.83,94.13,59414684,110435928
2022-11-25T14:30:00Z,93.79,94.43,93.065,93.41,35088609,105710090.4
2022-11-28T14:30:00Z,93.93,96.4,93.43,93.95,75062316,98306536.25
2022-11-29T14:30:00Z,94.04,94.41,91.44,92.42,65567286,96622330.8
2022-11-30T14:30:00Z,92.47,96.54,91.525,96.54,102805806,94094119.5
2022-12-01T14:30:00Z,96.99,97.23,94.92,95.5,68487969,90730428.05
2022-12-02T14:30:00Z,94.475,95.36,93.78,94.13,72496388,87521082.3
2022-12-05T14:30:00Z,93.05,94.06,90.82,91.01,71535526,84642791.8
2022-12-06T14:30:00Z,90.5,91.04,87.9,88.25,75503628,84543186.8
2022-12-07T14:30:00Z,88.34,89.89,87.48,88.46,68086880,83512362.3
2022-12-08T14:30:00Z,89.24,90.86,87.88,90.35,73305887,82637844.2
2022-12-09T14:30:00Z,88.9,90.3,88.63,89.09,67398506,77337026.4
2022-12-12T14:30:00Z,89.21,90.58,87.87,90.55,61999762,74857487.3
2022-12-13T14:30:00Z,95.23,96.25,90.52,92.49,100212038,74891435.6
2022-12-14T14:30:00Z,92.502,93.4581,89.87,91.58,70298006,72839520.05
2022-12-15T14:30:00Z,89.89,89.97,87.47,88.45,84802877,72681722.5
2022-12-16T14:30:00Z,88.265,89.35,86.73,87.86,146144064,75858032.45
2022-12-19T14:30:00Z,87.51,87.63,84.51,84.92,83531460,76413196.2
2022-12-20T14:30:00Z,85.33,86.61,84.33,85.19,74348301,75914097.75
2022-12-21T14:30:00Z,86.175,87.225,85.21,86.77,59267156,75767857.45
2022-12-22T14:30:00Z,85.52,85.68,82.25,83.79,81431314,76868688.95
2022-12-23T14:30:00Z,83.25,85.78,82.9344,85.25,57433655,77985941.25
2022-12-27T14:30:00Z,84.97,85.35,83,83.04,57284035,77097027.2
2022-12-28T14:30:00Z,82.8,83.48,81.69,81.82,58228575,76730091.65
2022-12-29T14:30:00Z,82.87,84.55,82.55,84.18,54995895,74339596.1
2022-12-30T14:30:00Z,83.12,84.05,82.47,84,62401194,74035257.35
2023-01-03T14:30:00Z,85.46,86.96,84.205,85.82,76706040,74245739.95
2023-01-04T14:30:00Z,86.55,86.98,83.36,85.14,68885123,74113219.8
2023-01-05T14:30:00Z,85.33,85.42,83.07,83.12,67930825,73734579.65
2023-01-06T14:30:00Z,83.03,86.4,81.43,86.08,83303361,74495403.7
2023-01-09T14:30:00Z,87.46,89.48,87.08,87.36,65266056,74093412.15
2023-01-10T14:30:00Z,87.57,90.185,87.29,89.87,67756601,74111316.9
2023-01-11T14:30:00Z,90.93,95.26,90.93,95.09,103126183,76167637.95
2023-01-12T14:30:00Z,96.93,97.19,93.5,95.27,85254781,75419775.1
2023-01-13T14:30:00Z,94.18,98.37,94.12,98.12,85549432,76182346.4
2023-01-17T14:30:00Z,98.68,98.89,95.73,96.05,72755001,75579952.6
2023-01-18T14:30:00Z,97.25,99.32,95.38,95.46,79570370,72251267.9
2023-01-19T14:30:00Z,94.74,95.44,92.86,93.68,69002663,71524828.05
2023-01-20T14:30:00Z,93.86,97.354,93.2025,97.25,67481539,71181489.95
2023-01-23T14:30:00Z,97.56,97.78,95.86,97.52,76501103,72043187.3
2023-01-24T14:30:00Z,96.93,98.09,96,96.32,66929452,71318094.2
2023-01-25T14:30:00Z,92.56,97.24,91.52,97.18,94261570,73159489.95
2023-01-26T14:30:00Z,98.235,99.49,96.92,99.22,68523557,73721466.05
2023-01-27T14:30:00Z,99.53,103.485,99.53,102.24,87775614,75198818
2023-01-30T14:30:00Z,101.09,101.74,99.01,100.55,70691860,75983616.25
2023-01-31T14:30:00Z,101.155,103.3484,101.14,103.13,66527253,76189919.2
2023-02-01T14:30:00Z,102.53,106.24,101.24,105.15,80450121,76377123.25
2023-02-02T14:30:00Z,110.245,114,108.88,112.91,158154243,80840579.25
2023-02-03T14:30:00Z,105.26,108.78,102.52,103.39,144374828,84662779.4
2023-02-06T14:30:00Z,102.925,103.9484,100.65,102.18,81945199,84594871.3
2023-02-07T14:30:00Z,101.17,102.41,98.08,102.11,119501301,87306633.55
2023-02-08T14:30:00Z,102.04,102.6699,98.775,100.05,75878304,87712718.7
2023-02-09T14:30:00Z,101.32,101.78,97.57,98.24,64622489,85787534
2023-02-10T14:30:00Z,97.56,98.8163,96.23,97.61,52740133,84161801.6
