time,open,high,low,close,Volume,Volume MA
2022-04-04T19:30:00Z,154.825,155.02,154.68,154.72,3300,2425.35
2022-04-05T13:30:00Z,155.48,157.54,155.48,157.03,1437,2467.2
2022-04-05T14:30:00Z,156.52,157.18,156.52,157.18,300,2467.2
2022-04-05T16:30:00Z,157.04,157.13,157.04,157.13,300,2437.2
2022-04-05T17:30:00Z,156.61,156.61,156.61,156.61,100,2327.2
2022-04-05T18:30:00Z,156.14,156.2,155.79,155.79,700,2247.2
2022-04-05T19:30:00Z,155.86,155.87,155.42,155.61,2633,2055.4
2022-04-06T13:30:00Z,157.12,158.6,156.96,158.44,4100,2180.4
2022-04-06T14:30:00Z,158.38,158.38,157.85,158,800,2155.4
2022-04-06T15:30:00Z,158.09,158.85,158.09,158.72,2700,2177.25
2022-04-06T16:30:00Z,158.675,158.74,158.675,158.73,300,2143.8
2022-04-06T17:30:00Z,158.31,158.31,157.52,157.55,600,2113.8
2022-04-06T18:30:00Z,157.49,158.01,157.49,157.8,1829,2123.2
2022-04-06T19:30:00Z,157.75,158.19,157.74,158.18,8949,2317.15
2022-04-07T13:30:00Z,157.89,159.08,157.72,158.74,5103,2407.6
2022-04-07T14:30:00Z,158.785,159.15,158.52,159.03,4917,2377.8
2022-04-07T15:30:00Z,158.95,159.95,158.95,159.86,1711,2338.35
2022-04-07T16:30:00Z,160,161.77,159.96,161.68,3661,2391.4
2022-04-07T17:30:00Z,161.68,162.75,161.51,162.38,5671,2520.55
2022-04-07T18:30:00Z,162.16,163.805,162.14,163.52,10850,2998.05
2022-04-07T19:30:00Z,163.49,163.59,162.83,162.89,16521,3659.1
2022-04-08T13:30:00Z,164.1,165.02,163.21,164.26,8197,3997.1
2022-04-08T14:30:00Z,164.25,166.45,164.25,166.45,7676,4365.9
2022-04-08T15:30:00Z,166.18,166.265,165.4,165.66,9967,4849.25
2022-04-08T16:30:00Z,165.58,166.82,165.58,166.11,9722,5330.35
2022-04-08T17:30:00Z,166.07,166.89,165.8,166.43,9078,5749.25
2022-04-08T18:30:00Z,166.37,166.37,165.59,165.69,13689,6302.05
2022-04-08T19:30:00Z,165.88,165.96,165.07,165.4,14049,6799.5
2022-04-11T13:30:00Z,166.12,166.12,163.545,164.58,5166,7017.8
2022-04-11T14:30:00Z,164.505,165.475,164.13,165.02,4038,7084.7
2022-04-11T15:30:00Z,165.16,165.97,165.16,165.19,5516,7345.5
2022-04-11T16:30:00Z,164.99,165.13,163.505,163.505,3511,7491.05
2022-04-11T17:30:00Z,163.72,164.02,163.17,163.3,4559,7627.55
2022-04-11T18:30:00Z,163.09,163.09,162.39,162.47,7436,7551.9
2022-04-11T19:30:00Z,162.4,162.69,162.06,162.65,6299,7611.7
2022-04-12T13:30:00Z,161.015,161.555,159.81,161.26,4523,7592
2022-04-12T14:30:00Z,161.31,162.93,161.31,162.93,2204,7616.65
2022-04-12T15:30:00Z,162.73,162.89,162.5,162.83,4666,7666.9
2022-04-12T16:30:00Z,162.82,162.84,162.5,162.79,2200,7493.35
2022-04-12T17:30:00Z,162.97,163.05,162.46,162.73,4121,7156.9
2022-04-12T18:30:00Z,162.7,162.8,162.14,162.34,3600,6510.85
2022-04-12T19:30:00Z,161.94,162.69,161.94,162.615,4900,6346
2022-04-13T13:30:00Z,162.75,164.03,161.73,161.77,4068,6165.6
2022-04-13T14:30:00Z,161.6,162.46,161.56,162.46,4016,5868.05
2022-04-13T15:30:00Z,162.42,162.6,161.9,162.44,3061,5535
2022-04-13T16:30:00Z,162.46,162.99,162.25,162.89,3619,5262.05
2022-04-13T17:30:00Z,162.8,163.23,162.41,162.44,4104,4782.8
2022-04-13T18:30:00Z,162.3,162.82,162.22,162.65,3970,4278.85
2022-04-13T19:30:00Z,162.645,163.05,162.645,162.935,8350,4438.05
2022-04-14T13:30:00Z,163.39,164,163.05,163.05,2015,4336.9
2022-04-14T14:30:00Z,162.73,163.15,161.72,162.13,13498,4736
2022-04-14T15:30:00Z,162.26,162.59,161.82,161.93,6598,4890.35
2022-04-14T16:30:00Z,161.895,162.24,161.68,162.24,9095,5117.15
2022-04-14T17:30:00Z,162.27,162.45,161.81,161.9,8730,5181.85
2022-04-14T18:30:00Z,161.98,162.18,161.21,161.3,7530,5243.4
2022-04-14T19:30:00Z,161.33,161.73,160.57,161.16,22168,6125.65
2022-04-18T13:30:00Z,161.58,161.93,160.56,161.3,2440,6137.45
2022-04-18T14:30:00Z,160.84,161.47,160.84,161.38,3682,6088.25
2022-04-18T15:30:00Z,161.48,161.98,161.35,161.91,2424,6099.45
2022-04-18T16:30:00Z,161.84,162.16,161.69,162.02,2834,6035.1
2022-04-18T17:30:00Z,162.15,162.69,162.15,162.18,2095,5959.85
2022-04-18T18:30:00Z,162.25,162.65,162.25,162.36,4001,5914.9
2022-04-18T19:30:00Z,162.28,162.33,161.72,161.86,3962,5909.6
2022-04-19T13:30:00Z,161.9,163.12,161.83,162.88,2142,5815.9
2022-04-19T14:30:00Z,163.39,163.4,162.87,162.94,1500,5737.85
2022-04-19T15:30:00Z,162.72,163.02,162.64,162.64,800,5596.9
2022-04-19T16:30:00Z,162.57,162.57,162.2,162.2,600,5421.7
2022-04-19T17:30:00Z,162,162.47,161.81,162.32,1608,5303.6
2022-04-19T18:30:00Z,162.43,163.07,162.41,163.02,2096,4990.9
2022-04-19T19:30:00Z,163.01,163.29,162.74,162.74,4609,5120.6
2022-04-20T13:30:00Z,164.19,165.63,164.11,165.26,5096,4700.5
2022-04-20T14:30:00Z,165.81,166.09,165.34,165.82,3200,4530.6
2022-04-20T15:30:00Z,165.82,165.89,165.32,165.36,800,4115.85
2022-04-20T16:30:00Z,165.57,166.235,165.57,166.21,1200,3739.35
2022-04-20T17:30:00Z,166.38,166.38,165.71,165.72,1700,3447.85
2022-04-20T18:30:00Z,165.59,165.79,165.16,165.79,500,2364.45
2022-04-20T19:30:00Z,165.88,165.97,165.62,165.74,4400,2462.45
2022-04-21T13:30:00Z,164.63,166.24,164.37,165.91,3100,2433.35
2022-04-21T14:30:00Z,165.81,166.87,165.74,166.87,3936,2508.95
2022-04-21T15:30:00Z,166.92,167.18,166.39,166.39,2498,2492.15
2022-04-21T16:30:00Z,166.61,166.61,166.12,166.12,400,2407.4
2022-04-21T17:30:00Z,165.84,166.53,165.84,166.52,673,2241
2022-04-21T18:30:00Z,166.54,166.54,165.57,165.57,1103,2098.05
2022-04-21T19:30:00Z,165.92,165.92,164.64,165.03,3039,2142.9
2022-04-22T13:30:00Z,162.43,163.04,161.485,161.53,1690,2152.4
2022-04-22T14:30:00Z,161.3,161.35,160.23,160.65,6865,2455.65
2022-04-22T15:30:00Z,160.62,161,159.8,161,900,2470.65
2022-04-22T16:30:00Z,161.65,161.83,161.11,161.11,2970,2538.75
2022-04-22T17:30:00Z,161.4,161.55,160.58,160.58,2250,2546.45
2022-04-22T18:30:00Z,160.58,160.58,159.77,160.32,2529,2442.45
2022-04-22T19:30:00Z,160.52,160.55,158.83,158.86,7930,2584.15
2022-04-25T13:30:00Z,158.11,158.11,156.13,157.32,6571,2752.7
2022-04-25T14:30:00Z,157.69,157.92,156.36,156.44,3419,2883.65
2022-04-25T15:30:00Z,156.57,157.07,155.65,156.8,3516,2999.45
2022-04-25T16:30:00Z,156.79,157.6,156.61,157.4,3000,3064.45
2022-04-25T17:30:00Z,157.4,157.475,156.9,157.475,4200,3249.45
2022-04-25T18:30:00Z,157.55,158.16,156.82,158.16,8718,3465.35
2022-04-25T19:30:00Z,158.17,158.79,158.12,158.55,2401,3430.4
2022-04-26T13:30:00Z,157.875,159.9,157.71,159.42,1800,3323.6
2022-04-26T14:30:00Z,159.72,161.39,158.87,161.39,2057,3301.55
2022-04-26T15:30:00Z,161.47,161.47,160.21,160.47,500,3306.55
2022-04-26T16:30:00Z,160.76,160.76,159.84,159.84,864,3316.1
2022-04-26T17:30:00Z,159.54,159.99,159.5,159.79,2000,3360.95
2022-04-26T18:30:00Z,159.57,159.59,158.42,158.42,4659,3441.95
2022-04-26T19:30:00Z,158.46,158.48,157.17,157.2,9724,3843.65
2022-04-27T13:30:00Z,156.47,157.71,155.87,157.36,900,3545.4
2022-04-27T14:30:00Z,156.87,158.3,156.87,158.3,1150,3557.9
2022-04-27T15:30:00Z,158.22,158.47,158.16,158.45,1000,3459.4
2022-04-27T16:30:00Z,159,159,158.64,158.64,400,3366.9
2022-04-27T17:30:00Z,158.78,159.24,158.55,158.55,1774,3329.15
2022-04-27T18:30:00Z,158.55,158.69,157.92,158.1,1921,3028.7
2022-04-27T19:30:00Z,158.02,158.13,157.29,157.58,7086,3054.45
2022-04-28T13:30:00Z,157.29,158.44,157.29,157.78,1300,2948.5
2022-04-28T14:30:00Z,157.57,157.95,157.44,157.87,1582,2851.8
2022-04-28T15:30:00Z,158.21,158.21,158.02,158.02,451,2724.35
2022-04-28T16:30:00Z,158.14,158.61,157.785,158,5414,2785.05
2022-04-28T17:30:00Z,158,158.29,157.795,157.89,8010,2749.65
2022-04-28T18:30:00Z,158,158.13,157.85,158.13,2073,2733.25
2022-04-28T19:30:00Z,158.26,158.3,157.61,157.76,8389,3062.7
2022-04-29T13:30:00Z,157.04,157.04,155.59,155.59,2050,3062.35
2022-04-29T14:30:00Z,155,155.22,153.17,154,3700,3222.35
2022-04-29T15:30:00Z,154.09,154.37,153.24,153.31,3100,3334.15
2022-04-29T16:30:00Z,153.3,153.4,152.36,152.88,4119,3440.1
2022-04-29T17:30:00Z,152.92,153.15,152.26,152.355,3000,3357.15
2022-04-29T18:30:00Z,152.32,152.32,151.04,151.26,3800,3060.95
